machineID,datetime,voltmean_3h,rotatemean_3h,pressuremean_3h,vibrationmean_3h,voltsd_3h,rotatesd_3h,pressuresd_3h,vibrationsd_3h,voltmean_24h,rotatemean_24h,pressuremean_24h,vibrationmean_24h,voltsd_24h,rotatesd_24h,pressuresd_24h,vibrationsd_24h,error1count,error2count,error3count,error4count,error5count,comp1,comp2,comp3,comp4,model,age,failure
1,2015-11-01 00:00:00,175.10712294581666,414.0353420980673,88.94509895159307,42.690765936663894,4.6733576736595825,26.327347389022876,12.549849368367772,6.248926728385148,168.13289246161585,454.4241482684483,99.2477240398734,40.25210525211688,15.772828642546079,45.489832309633314,11.336669125340624,5.365778558984038,0.0,0.0,0.0,0.0,0.0,29.75,14.75,149.75,14.75,model3,18,none
2,2015-11-01 00:00:00,185.36034507589866,461.48238167416895,108.39934302283001,41.27956784387097,16.26370455330192,52.97708688106441,4.669966383156493,2.653788979225715,166.45495116230623,460.11222914460814,99.83398371023948,41.760474100173575,13.480533022690041,31.516199858758934,11.117472973119417,4.890272061344739,0.0,0.0,0.0,0.0,0.0,1.75,61.75,151.75,1.75,model4,7,none
3,2015-11-01 00:00:00,166.24523977611832,439.512924346363,97.6605827755851,39.03427092247904,1.67469414306165,81.53166875266521,5.660177815396192,3.0483514368644036,167.18052052394827,444.9559691434652,101.80031530435038,40.156517624100225,15.672796262973828,46.339266755735515,11.177561619211776,4.681705503163534,0.0,0.0,0.0,0.0,0.0,42.75,12.75,42.75,12.75,model3,8,none
1,2015-11-01 03:00:00,168.79525742966098,441.4190724974057,105.71679817407467,39.2485074383598,16.590119404151515,72.7347681588766,5.178499963899257,4.112476798966464,168.57730537328095,449.7852720848769,99.77034844674984,40.800388520924066,16.283262122168395,49.28892937163658,11.39720942475197,5.702249082631291,0.0,0.0,0.0,0.0,0.0,29.875,14.875,149.875,14.875,model3,18,none
2,2015-11-01 03:00:00,174.90739507897635,492.4096173562653,99.6133596468437,43.76835536011399,9.756764466667459,20.62447684287645,7.454826929243056,2.064393547057452,168.4465790344336,467.840370158447,101.47498970909936,41.80533034044041,14.025009202835951,30.1888732570607,9.885060892546548,4.82726241110806,0.0,0.0,0.0,0.0,0.0,1.875,61.875,151.875,1.875,model4,7,none
3,2015-11-01 03:00:00,166.34196187714767,402.843668316819,99.45981518141251,37.45724378130543,4.50134233656391,26.594872637902967,6.671349436257203,5.942862754572408,166.47453507405677,436.12896196675393,100.79824324742657,39.19922082827048,14.420121556365851,45.12053352245822,11.378279286245567,4.676124803272385,0.0,1.0,0.0,0.0,0.0,42.875,12.875,42.875,12.875,model3,8,none
1,2015-11-01 06:00:00,162.52995550370161,456.16656655955984,101.64691922606112,43.19548065488054,12.58101168048354,56.64686316659217,18.58374483239374,5.191719394989365,171.76848789577053,420.6873405110993,102.20692413829597,40.556850369862715,11.178502392986115,45.434583891858374,10.298149903568778,5.2677186744800455,0.0,0.0,0.0,0.0,0.0,30.0,15.0,150.0,15.0,model3,18,none
2,2015-11-01 06:00:00,178.20778170618632,476.09730493563507,98.56898883756466,36.74602959318795,19.280644695444504,30.27551098106315,11.018271845910455,3.3677810460336293,177.22843341926057,429.7448739433557,99.55977049129,42.52758913335106,12.351581282351997,45.88554064534386,12.492505837902854,4.484731608743617,0.0,0.0,0.0,0.0,0.0,2.0,62.0,152.0,2.0,model3,7,none
3,2015-11-01 06:00:00,170.12521643531633,389.03198420720054,101.53876290485182,36.22005239708801,31.139630635547306,55.76356557577304,19.9618955286736,0.28959844613375907,167.39256884983624,420.4783990710376,94.684201119818,40.745235565358705,18.819092803399688,48.33160801891721,9.593544864334959,4.704820960787521,0.0,0.0,0.0,0.0,0.0,43.0,13.0,43.0,13.0,model3,8,none
1,2015-11-01 09:00:00,185.69745892519828,425.4616833822231,100.31351727138663,41.892199669822574,11.478200614502704,36.38440831954519,12.134152259500388,2.2351200337096624,169.43676072361646,439.40838317337364,108.66996855567857,40.82163403600985,14.06712471406039,49.8017572889477,12.29077100559787,4.317324426516649,0.0,0.0,0.0,0.0,0.0,30.125,15.125,150.125,15.125,model3,18,none
2,2015-11-01 09:00:00,180.37126497009987,464.95681030107636,100.50010510289319,48.32582863239742,12.491940744933286,15.605539243825227,-0.2353375377480642,10.3543025174865,179.54251936525782,430.4991597525717,94.41730655949607,38.490944294243924,14.879912529813634,52.58016985557607,11.626879361076295,3.838033901536562,0.0,0.0,0.0,0.0,0.0,2.125,62.125,152.125,2.125,model3,7,none
